filename,level,part_type,item_number,mfg_part_number,item_description,type,conductor,number_pairs,insulation,jacket,shielding,wire_gauge,diameter,putup,color,stranding,kevlar_core,pitch
W10-0006-979_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-979,K        C05540,WIRE #22 White/VIO      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Violet,7/30,No,
W10-0006-989_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-989,K        C05540,WIRE #22 White/GRY      PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White/Grey,7/30,No,
W10-0006-999_K_MfgBOMReport.xls,0,Cable and Wire,W10-0006-999,K        C05540,WIRE #22 WHITE        PVC,Hook up,1,,Irradiated PVC,,A,22,,1000,White,7/30,No,
W10-0007-000_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-000,J        C13327,WIRE #20 BLACK        PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Black,7/28,No,
W10-0007-111_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-111,J        C13327,WIRE #20 BROWN        PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Brown,7/28,No,
W10-0007-222_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-222,J        C13327,"WIRE, #20 RED, PVC",Hook up,1,,Irradiated PVC,,A,20,,1000,Red,7/28,No,
W10-0007-333_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-333,J        C13327,WIRE #20 ORANGE       PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Orange,7/28,No,
W10-0007-444_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-444,J        C13327,WIRE #20 YELLOW       PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Yellow,7/28,No,
W10-0007-555_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-555,J        C13327,WIRE #20 GREEN        PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Green,7/28,No,
W10-0007-666_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-666,J        C13327,WIRE #20 BlueE         PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Blue,7/28,No,
W10-0007-777_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-777,J        C13327,WIRE #20 VIOLET       PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Violet,7/28,No,
W10-0007-888_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-888,J        C13327,WIRE #20 GRAY         PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,Grey,7/28,No,
W10-0007-919_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-919,J        C13327,WIRE #20 WHITE/BROWN  PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,White/Brown,7/28,No,
W10-0007-939_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-939,J        C13327,WIRE #20 WHITE/ORANGE PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,White/Orange,7/28,No,
W10-0007-949_1_MfgBOMReport.xls,0,Cable and Wire,W10-0007-949,1        C22939,WIRE #20 WHITE/YELLOW PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,White/Yellow,7/28,No,
W10-0007-959_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-959,J        C13327,WIRE #20 WHITE/GREEN  PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,White/Green,7/28,No,
W10-0007-969_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-969,J        C13327,WIRE #20 WHITE/BlueE   PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,White/Blue,7/28,No,
W10-0007-979_J_MfgBOMReport.xls,0,Cable and Wire,W10-0007-979,J        C13327,WIRE #20 WHITE/VIOLET PVC,Hook up,1,,Irradiated PVC,,A,20,,1000,White/Violet,7/28,No,
W10-0008-000_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-000,M        C50657,WIRE #18 BLACK        PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Black,19/30,No,
W10-0008-111_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-111,M        C50657,WIRE #18 BROWN        PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Brown,19/30,No,
W10-0008-222_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-222,M        C50657,WIRE STRANDED 18 AWG RED IRPVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Red,19/30,No,
W10-0008-333_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-333,M        C50657,WIRE #18 ORANGE       PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Orange,19/30,No,
W10-0008-444_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-444,M        C50657,WIRE #18 YELLOW       PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Yellow,19/30,No,
W10-0008-555_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-555,M        C50657,WIRE #18 GREEN        PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Green,19/30,No,
W10-0008-666_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-666,M        C50657,WIRE #18 BlueE         PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Blue,19/30,No,
W10-0008-777_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-777,M        C50657,WIRE #18 VIOLET       PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Violet,19/30,No,
W10-0008-888_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-888,M        C50657,WIRE #18 GRAY         PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,Grey,19/30,No,
W10-0008-989_M_MfgBOMReport.xls,0,Cable and Wire,W10-0008-989,M        C50657,WIRE #18 WHITE/GRAY   PVC,Hook up,1,,Irradiated PVC,,A,18,,1000,White/Grey,19/30,No,
W10-0009-000_G_MfgBOMReport.xls,0,Cable and Wire,W10-0009-000,G        C15447,WIRE 16 AWG Black PER MIL-DTL-16878/1,Hook up,1,,,,A,16,,,Black,,No,
W10-0009-222_G_MfgBOMReport.xls,0,Cable and Wire,W10-0009-222,G        C15447,WIRE 16 AWG RED PER MIL-DTL-16878/1,Hook up,1,,,,A,16,,,Red,,No,
W10-0013-012_-_MfgBOMReport.xls,0,Cable and Wire,W10-0013-012,0,WIRE 12 AWG (65/30) HI TEMP HI FLEX BLACK EPDM,,,,,,A,,,,,,,
W10-0013-014_-_MfgBOMReport.xls,0,Cable and Wire,W10-0013-014,0,WIRE 14 AWG (41/30) HI TEMP HI FLEX BLACK EPDM,,,,,,A,,,,,,,
W10-0013-212_-_MfgBOMReport.xls,0,Cable and Wire,W10-0013-212,0,WIRE 12 AWG (65/30) HI TEMP HI FLEX RED EPDM,,,,,,A,,,,,,,
W10-0013-214_-_MfgBOMReport.xls,0,Cable and Wire,W10-0013-214,0,WIRE 14 AWG (41/30) HI TEMP HI FLEX RED EPDM,,,,,,A,,,,,,,
W10-0014-105_-_MfgBOMReport.xls,0,Cable and Wire,W10-0014-105,0,CABLE 24 AWG 5 COND BRAID SHLD  W/DRAIN Black PVC,,,,,,A,,,,,,,
W10-0015-001_-_MfgBOMReport.xls,0,Cable and Wire,W10-0015-001,0,WIRE 105C 600 V PVC 18 AWG (16/30) Green W/YEL,,,,,,A,,,,,,,
W10-0030-202_-_MfgBOMReport.xls,0,Cable and Wire,W10-0030-202,0,CABLE SHLD 22 GA 2 COND,,,,,,A,,,,,,,
W10-0032-004_E_MfgBOMReport.xls,0,Cable and Wire,W10-0032-004,E        C32859,CABLE SHLD 26 GA 4 COND,,,,,,A,,,,,,,
W10-0032-101_E_MfgBOMReport.xls,0,Cable and Wire,W10-0032-101,E        C32616,CABLE SHLD 24 AWG (7/32) 1 COND,,,,,,A,,,,,,,
W10-0032-106_D_MfgBOMReport.xls,0,Cable and Wire,W10-0032-106,D        DL000201,CABLE SHLD 24 GA 2 COND,,,,,,A,,,,,,,
W10-0032-202_E_MfgBOMReport.xls,0,Cable and Wire,W10-0032-202,E        C21972,CABLE SHLD 22 AWG 2 COND White,,,,,,A,,,,,,,
W10-0032-210_A_MfgBOMReport.xls,0,Cable and Wire,W10-0032-210,A,CABLE SHLD 22 AWG 2 COND Black JACKET,,,,,,A,,,,,,,
W10-0032-302_D_MfgBOMReport.xls,0,Cable and Wire,W10-0032-302,D        DL000201,CABLE SHLD 20 GA 2 COND,,,,,,A,,,,,,,
W10-0033-001_A_MfgBOMReport.xls,0,Cable and Wire,W10-0033-001,A        C49925,CABLE 6 COND 30 AWG SHLD FLEXBL,,,,,,A,,,,,,,
W10-0036-001_A_MfgBOMReport.xls,0,Cable and Wire,W10-0036-001,A        C41072,CABLE 20 (7/28) AWG 2 COND SHLD Black JKT .250 NOM,,,,,,A,,,,,,,
W10-0040-020_-_MfgBOMReport.xls,0,Cable and Wire,W10-0040-020,0,"WIRE,  600V  RAD CL , SN CU  STRAND, #20 RED",,,,,,A,,,,,,,
W10-0042-002_-_MfgBOMReport.xls,0,Cable and Wire,W10-0042-002,0,"WIRE, HOOK-UP, 26 AWG 7/34, IRRADIATED PVC, Black",,,,,,A,,,,,,,
W10-0042-003_-_MfgBOMReport.xls,0,Cable and Wire,W10-0042-003,0,"WIRE, HOOK-UP, 26 AWG 7/34, IRRADIATED PVC, RED",,,,,,A,,,,,,,
W10-0043-001_-_MfgBOMReport.xls,0,Cable and Wire,W10-0043-001,0,"WIRE, SLIVER PLATED COPPER, .6MM",,,,,,A,,,,,,,
W12-0020-003_-_MfgBOMReport.xls,0,Cable and Wire,W12-0020-003,0,WIRE ETFE 20 AWG (19X32) ORANGE 600V 150 DEG C,,,,,,A,,,,,,,
W12-0020-005_-_MfgBOMReport.xls,0,Cable and Wire,W12-0020-005,0,WIRE ETFE 20 AWG (19X32) GREEN 600V 150 DEG C,,,,,,A,,,,,,,
W12-0020-091_-_MfgBOMReport.xls,0,Cable and Wire,W12-0020-091,0,WIRE ETFE 20 AWG (19X32) White/BRN 600V 150 DEG C,,,,,,A,,,,,,,
W12-0020-097_-_MfgBOMReport.xls,0,Cable and Wire,W12-0020-097,0,WIRE ETFE 20 AWG (19X32) White/VIO 600V 150 DEG C,,,,,,A,,,,,,,
W20-0001-007_F_MfgBOMReport.xls,0,Cable and Wire,W20-0001-007,F        DL000215,WIRE BUSS #28AWG TIN'D CU,,,,,,A,,,,,,,
W20-0001-008_F_MfgBOMReport.xls,0,Cable and Wire,W20-0001-008,F        DL000215,WIRE BUSS #26AWG TIN'D CU,,,,,,A,,,,,,,
W20-0001-009_F_MfgBOMReport.xls,0,Cable and Wire,W20-0001-009,F        DL000215,WIRE BUSS #24AWG TIN'D CU,,,,,,A,,,,,,,
W20-0001-010_G_MfgBOMReport.xls,0,Cable and Wire,W20-0001-010,G        C02267,WIRE BUSS #22AWG TIN'D CU,,,,,,A,,,,,,,
W20-0001-012_G_MfgBOMReport.xls,0,Cable and Wire,W20-0001-012,G        C02267,WIRE BUSS #18AWG TIN'D CU,,,,,,A,,,,,,,
W20-0001-013_F_MfgBOMReport.xls,0,Cable and Wire,W20-0001-013,F        DL000215,WIRE BUSS #16AWG TIN'D CU,,,,,,A,,,,,,,
W36-0003-002_C_MfgBOMReport.xls,0,Cable and Wire,W36-0003-002,C        C41266,CABLE PWR 12 AWG 2 COND SHLD,,,,,,A,,,,,,,
W36-0003-003_C_MfgBOMReport.xls,0,Cable and Wire,W36-0003-003,C        C41266,CABLE PWR 12 AWG 4 COND SHLD,,,,,,A,,,,,,,
W36-0003-004_C_MfgBOMReport.xls,0,Cable and Wire,W36-0003-004,C        C41266,CABLE PWR 12 AWG 4 COND DBL SHLD,,,,,,A,,,,,,,
W40-0010-204_A_MfgBOMReport.xls,0,Cable and Wire,W40-0010-204,A        DL000133,CABLE SHLD 4 COND 20 AWG (10X20) PVC 300V,,,,,,A,,,,,,,
W40-0010-304_1_MfgBOMReport.xls,0,Cable and Wire,W40-0010-304,1        C41741,CABLE SHLD 4 COND 20 AWG (10X30) PVC 300V,,,,,,A,,,,,,,
W40-0019-215_-_MfgBOMReport.xls,0,Cable and Wire,W40-0019-215,0,CABLE 15 COND 22 AWG DBL SHIELDED,,,,,,A,,,,,,,
W40-0022-001_-_MfgBOMReport.xls,0,Cable and Wire,W40-0022-001,0,CABLE SHLD 22GA 1PR,,,,,,A,,,,,,,
W45-0001-007_E_MfgBOMReport.xls,0,Cable and Wire,W45-0001-007,E        C17418,BRAID FLAT .25  WIDE,,,,,,A,,,,,,,
W45-0001-008_E_MfgBOMReport.xls,0,Cable and Wire,W45-0001-008,E        C17418,BRAID FLAT .38  WIDE,,,,,,A,,,,,,,
W45-0001-009_F_MfgBOMReport.xls,0,Cable and Wire,W45-0001-009,F        C23004,BRAID FLAT .50  WIDE TINNED COPPER,,,,,,A,,,,,,,
W45-0001-010_E_MfgBOMReport.xls,0,Cable and Wire,W45-0001-010,E        C17418,"BRAID FLAT .625""  WIDE",,,,,,A,,,,,,,
W45-0001-012_E_MfgBOMReport.xls,0,Cable and Wire,W45-0001-012,E        C17418,BRAID FLAT 1.00 WIDE,,,,,,A,,,,,,,
W45-0002-001_J_MfgBOMReport.xls,0,Cable and Wire,W45-0002-001,J        C19028,BRAID TUBULAR  .125 ID,,,,,,A,,,,,,,
W45-0002-025_K_MfgBOMReport.xls,0,Cable and Wire,W45-0002-025,K        C22945,BRAID TUBULAR  0.156 ID,,,,,,A,,,,,,,
W50-0010-102_-_MfgBOMReport.xls,0,Cable and Wire,W50-0010-102,0,CABLE 2 COND 22 AWG UNSHLD Black TPE,,,,,,A,,,,,,,
W50-0012-626_-_MfgBOMReport.xls,0,Cable and Wire,W50-0012-626,0,CABLE 6 COND 26 AWG SHLD GRY PVC JACK .187 OD,,,,,,A,,,,,,,
W50-0012-706_A_MfgBOMReport.xls,0,Cable and Wire,W50-0012-706,A        C48660,CABLE  6 COND 28 AWG SHLD GRY PVC JACK .175 OD,,,,,,A,,,,,,,
W50-0015-005_B_MfgBOMReport.xls,0,Cable and Wire,W50-0015-005,B        DL000164,CABLE 12GA   SHLD  5 COND,,,,,,A,,,,,,,
W50-0019-107_-_MfgBOMReport.xls,0,Cable and Wire,W50-0019-107,0,CABLE CAT5E 24 AWG 4 PR OUTDOOR RATED Black,,,,,,A,,,,,,,
W50-0023-004_1_MfgBOMReport.xls,0,Cable and Wire,W50-0023-004,1        C49697,CABLE 24 AWG 2 TW PRS DBL SHLD Black PUR JKT,,,,,,A,,,,,,,
W50-0023-006_-_MfgBOMReport.xls,0,Cable and Wire,W50-0023-006,0,CABLE 24 AWG 3 PRS SHLDED,,,,,,A,,,,,,,
W50-0026-106_B_MfgBOMReport.xls,0,Cable and Wire,W50-0026-106,B        C63667,CBL DBL SHLD 22 AWG (7/30)  6 COND .250 DIA PU,,,,,,A,,,,,,,
W50-0031-302_B_MfgBOMReport.xls,0,Cable and Wire,W50-0031-302,B        C21268,CABLE 20AWG 02COND SHLD TPR,,,,,,A,,,,,,,
W50-0038-001_A_MfgBOMReport.xls,0,Cable and Wire,W50-0038-001,A        C34757,CABLE   7 COND 24 AWG NPRN JKT DBL SHLD,,,,,,A,,,,,,,
W50-0038-002_-_MfgBOMReport.xls,0,Cable and Wire,W50-0038-002,0,CABLE 12 COND 24 AWG NPRN JKT DBL SHLD,,,,,,A,,,,,,,
W50-0038-003_-_MfgBOMReport.xls,0,Cable and Wire,W50-0038-003,-,CABLE 19 COND 24 AWG NPRN JKT DBL SHLD,,,,,,A,,,,,,,
W50-0038-004_A_MfgBOMReport.xls,0,Cable and Wire,W50-0038-004,A        C18324,CABLE 27 COND 24 AWG NPRN JKT DBL SHLD,,,,,,A,,,,,,,
W52-0003-001_T_MfgBOMReport.xls,0,Cable and Wire,W52-0003-001,T        C20660,WIRE 42X28AWG KEVLAR ANT,,,,,,A,,,,,,,
W55-0002-020_E_MfgBOMReport.xls,0,Cable and Wire,W55-0002-020,E        DL000209,CABLE FLAT 22GA 20 COND,,,,,,A,,,,,,,
W55-0004-016_D_MfgBOMReport.xls,0,Cable and Wire,W55-0004-016,D        C02568,CABLE FLAT 28GA 16 COND,flat,16,,,PVC,A,28AWG,,,Gray ,,,"0.050"""
W55-0004-020_D_MfgBOMReport.xls,0,Cable and Wire,W55-0004-020,D        C02568,CABLE FLAT 28GA 20 COND,flat,20,,,PVC,A,28AWG,,,Gray ,,,"0.050"""
W55-0004-026_D_MfgBOMReport.xls,0,Cable and Wire,W55-0004-026,D        C02568,CABLE FLAT 28GA 26 COND,flat,26,,,PVC,A,28AWG,,,Gray ,,,"0.050"""
W55-0004-034_D_MfgBOMReport.xls,0,Cable and Wire,W55-0004-034,D        C02568,CABLE FLAT 28 AWG (7X36) 34 COND,flat,34,,,PVC,A,28AWG,,,Gray ,,,"0.050"""
W55-0004-040_D_MfgBOMReport.xls,0,Cable and Wire,W55-0004-040,D        C02568,CABLE FLAT 28GA 40 COND,flat,40,,,PVC,A,28AWG,,,Gray ,,,"0.050"""
W55-0013-014_A_MfgBOMReport.xls,0,Cable and Wire,W55-0013-014,A        C10181,CABLE FLAT 26 AWG (7/34) 14 COND PVC,,,,,,A,,,,,,,
W55-0013-026_-_MfgBOMReport.xls,0,Cable and Wire,W55-0013-026,0,CABLE FLAT 26 AWG (7/34) 26 COND PVC,,,,,,A,,,,,,,
W55-0013-036_A_MfgBOMReport.xls,0,Cable and Wire,W55-0013-036,A        C10181,CABLE FLAT 26 AWG (7/34) 36 COND PVC,,,,,,A,,,,,,,
W55-0021-016_A_MfgBOMReport.xls,0,Cable and Wire,W55-0021-016,A        DL000132,CABLE FLAT TEFLON 16COND 28AWG,,,,,,A,,,,,,,
W55-0027-308_B_MfgBOMReport.xls,0,Cable and Wire,W55-0027-308,B        DL000164,CABLE FLAT 18AWG 08COND .156,,,,,,A,,,,,,,
W56-0003-030_-_MfgBOMReport.xls,0,Cable and Wire,W56-0003-030,0,"CABLE JUMPR FLAT FLEX 30 POSN .5 MM 2.5"" INSUL",,,,,,A,,,,,,,
W56-0009-003_-_MfgBOMReport.xls,0,Cable and Wire,W56-0009-003,0,"CABLE JMPR FLAT FLEX 15 POSN 0.5 MM 2.76"" INSUL",,,,,,A,,,,,,,
W60-0002-002_A_MfgBOMReport.xls,0,Cable and Wire,W60-0002-002,A        C06380,WIRE TFE 28GA RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,28,,1000,Red,19/40,,
W60-0003-002_A_MfgBOMReport.xls,0,Cable and Wire,W60-0003-002,A        C05942,WIRE TFE 26 AWG RED 600 V,Hook up,1,,TFE - Teflon (600V),,A,26,,1000,Red,7/34,,
W60-0003-003_1_MfgBOMReport.xls,0,Cable and Wire,W60-0003-003,1        C29153,WIRE TFE 26 AWG ORN 600 V,Hook up,1,,TFE - Teflon (600V),,A,26,,1000,Orange,7/34,,
W60-0003-009_-_MfgBOMReport.xls,0,Cable and Wire,W60-0003-009,0,WIRE TFE 26 AWG White 600 V,Hook up,1,,TFE - Teflon (600V),,A,26,,1000,White,7/34,,
W60-0004-002_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-002,A        C23431,WIRE TFE 24GA RED 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Red,19/36,,
W60-0004-003_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-003,A        C23431,WIRE TFE 24GA ORN 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Orange,19/36,,
W60-0004-004_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-004,A        C23431,WIRE TFE 24GA YEL 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Yellow,19/36,,
W60-0004-005_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-005,A        C23431,WIRE TFE 24GA Green 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Green,19/36,,
W60-0004-007_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-007,A        C23431,WIRE TFE 24GA VIO 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Violet,19/36,,
W60-0004-008_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-008,A        C23431,WIRE TFE 24GA GRY 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Grey,19/36,,
W60-0004-009_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-009,A        C23431,WIRE TFE 24GA White 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,White,19/36,,
W60-0004-010_A_MfgBOMReport.xls,0,Cable and Wire,W60-0004-010,A        C23431,WIRE TFE 24GA Black 200 DEG 600V,Hook up,1,,TFE - Teflon (600V),,A,24,,1000,Black,19/36,,
W60-0005-001_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-001,D        C10408,WIRE TFE 22 AWG BRN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Brown,7/30,,
W60-0005-002_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-002,D        C10408,WIRE TFE 22 AWG RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Red,7/30,,
W60-0005-003_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-003,D        C10408,WIRE TFE 22 AWG ORN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Orange,7/30,,
W60-0005-004_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-004,D        C10408,WIRE TFE 22 AWG YEL 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Yellow,7/30,,
W60-0005-005_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-005,D        C10408,WIRE TFE 22 AWG Green 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Green,7/30,,
W60-0005-006_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-006,D        C10408,WIRE TFE 22 AWG Blue 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Blue,7/30,,
W60-0005-007_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-007,D        C10408,WIRE TFE 22 AWG VIO 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Violet,7/30,,
W60-0005-009_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-009,D        C10408,WIRE TFE 22 AWG White 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White,7/30,,
W60-0005-010_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-010,D        C10408,WIRE TFE 22 AWG Black 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,Black,7/30,,
W60-0005-901_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-901,D        C10408,WIRE TFE 22 AWG White/Black/BRN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White/Black/Brown,7/30,,
W60-0005-902_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-902,D        C10408,WIRE TFE 22 AWG White/Black/RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White/Black/Red,7/30,,
W60-0005-903_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-903,D        C10408,WIRE TFE 22 AWG White/Black/ORN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White/Black/Orange,7/30,,
W60-0005-904_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-904,D        C10408,WIRE TFE 22 AWG White/Black/YEL 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White/Black/Yellow,7/30,,
W60-0005-905_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-905,D        C10408,WIRE TFE 22 AWG White/Black/Green 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White/Black/Green,7/30,,
W60-0005-906_D_MfgBOMReport.xls,0,Cable and Wire,W60-0005-906,D        C10408,WIRE TFE 22 AWG White/Black/Blue 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,22,,1000,White/Black/Blue,7/30,,
W60-0006-001_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-001,D        C52669,WIRE TFE 20 (19X32) AWG BRN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Brown,19/32,,
W60-0006-002_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-002,D        C52669,WIRE TFE 20 (19X32) AWG RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Red,19/32,,
W60-0006-003_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-003,D        C52669,WIRE TFE 20 (19X32) AWG ORN 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Orange,19/32,,
W60-0006-004_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-004,D        C52669,WIRE TFE 20 (19X32) AWG YEL 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Yellow,19/32,,
W60-0006-005_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-005,D        C52669,WIRE TFE 20 (19X32) AWG Green 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Green,19/32,,
W60-0006-006_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-006,D        C52669,WIRE TFE 20 (19X32) AWG Blue 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Blue,19/32,,
W60-0006-007_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-007,D        C52669,WIRE TFE 20 (19X32) AWG VIO 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Violet,19/32,,
W60-0006-010_D_MfgBOMReport.xls,0,Cable and Wire,W60-0006-010,D        C52669,WIRE TFE 20 (19X32) AWG Black 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,20,,1000,Black,19/32,,
W60-0007-002_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-002,D        C10397,WIRE TFE 18 AWG RED 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Red,7/26,,
W60-0007-003_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-003,D        C10397,WIRE TFE 18 AWG Orange 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Orange,7/26,,
W60-0007-004_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-004,D        C10397,WIRE TFE 18 AWG YEL 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Yellow,7/26,,
W60-0007-005_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-005,D        C10397,WIRE TFE 18 AWG Green 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Green,7/26,,
W60-0007-006_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-006,D        C10397,WIRE TFE 18 AWG Blue 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Blue,7/26,,
W60-0007-007_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-007,D        C10397,WIRE TFE 18 AWG VIO 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Violet,7/26,,
W60-0007-008_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-008,D        C10397,WIRE TFE 18 AWG GRY 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Grey ,7/26,,
W60-0007-009_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-009,D        C10397,WIRE TFE 18 AWG White 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,White,7/26,,
W60-0007-010_D_MfgBOMReport.xls,0,Cable and Wire,W60-0007-010,D        C10397,WIRE TFE 18 AWG Black 200 DEG,Hook up,1,,TFE - Teflon (600V),,A,18,,1000,Black,7/26,,
